Date,Open,High,Low,Close,Adj Close,Volume
2001-09-20,7.500000,8.090000,7.280000,7.823330,1.402392,2998095
2001-09-21,7.666670,8.313330,7.483330,7.836670,1.404783,5177100
2001-09-24,8.586670,8.623330,8.290000,8.460000,1.516521,4683375
2001-09-25,8.933330,8.933330,8.066670,8.180000,1.466328,3447885
2001-09-26,8.073330,8.236670,7.773330,7.996670,1.433465,3759780
2001-09-27,7.940000,8.100000,7.886670,7.990000,1.432269,2971050
2001-09-28,8.066670,8.266670,7.666670,7.983330,1.431074,11135310
2001-10-01,7.980000,8.266670,7.786670,7.806670,1.399406,3675045
2001-10-02,null,null,null,null,null,null
2001-10-03,7.920000,8.400000,7.920000,8.316670,1.490827,5223915
2001-10-04,8.466670,8.693330,8.153330,8.383330,1.502777,6699870
2001-10-05,8.393330,8.393330,8.066670,8.160000,1.462743,3301800
2001-10-08,8.003330,8.460000,7.800000,8.073330,1.447207,3953505
2001-10-09,8.246670,8.393330,8.200000,8.356670,1.497998,1821420
2001-10-10,8.410000,8.413330,8.073330,8.130000,1.457365,2936505
2001-10-11,8.350000,8.660000,8.076670,8.140000,1.459158,5749575
2001-10-12,8.300000,8.316670,8.060000,8.236670,1.476487,5537235
2001-10-15,8.333330,8.760000,8.253330,8.616670,1.544605,9489870
2001-10-16,8.600000,8.913330,8.500000,8.543330,1.531458,7846680
2001-10-17,8.600000,8.706670,8.500000,8.660000,1.552372,1998120
2001-10-18,8.733330,8.833330,8.533330,8.603330,1.542214,3392805
2001-10-19,8.593330,8.800000,8.066670,8.690000,1.557749,3621285
2001-10-22,8.733330,8.883330,8.633330,8.676670,1.555360,4019475
2001-10-23,8.860000,9.246670,8.753330,9.093330,1.630049,9399465
2001-10-24,9.193330,9.256670,8.746670,8.866670,1.589419,5981280
2001-10-25,8.880000,9.000000,8.776670,8.813330,1.579857,1701480
2001-10-26,null,null,null,null,null,null
2001-10-29,8.840000,8.993330,8.550000,8.676670,1.555360,1471650
2001-10-30,8.566670,8.666670,8.480000,8.596670,1.541020,2849520
2001-10-31,8.666670,8.883330,8.533330,8.660000,1.552372,3459405
2001-11-01,9.333330,9.466670,9.003330,9.213330,1.651560,12687045
2001-11-02,9.466670,9.663330,9.333330,9.523330,1.707130,8539170
2001-11-05,9.660000,9.956670,9.533330,9.806670,1.757921,6998280
2001-11-06,9.873330,10.356700,9.756670,10.123300,1.814680,9241965
2001-11-07,10.216700,10.520000,9.703330,9.833330,1.762700,9016080
2001-11-08,10.000000,10.266700,9.933330,10.153300,1.820058,8185125
2001-11-09,10.263300,10.263300,9.876670,9.956670,1.784810,3646590
2001-11-12,10.120000,10.193300,9.953330,10.003300,1.793168,1943340
2001-11-13,9.940000,10.100000,9.670000,9.940000,1.781822,3728880
2001-11-14,9.966670,10.066700,9.893330,9.973330,1.787796,755670
2001-11-15,9.833330,10.123300,9.833330,10.076700,1.806326,2696025
2001-11-16,null,null,null,null,null,null
2001-11-19,10.320000,10.326700,9.950000,10.046700,1.800948,4747965
2001-11-20,10.166700,10.266700,10.020000,10.126700,1.815289,5493810
2001-11-21,10.066700,10.520000,10.066700,10.303300,1.846946,7071180
2001-11-22,10.350000,10.853300,10.203300,10.290000,1.844562,10191930
2001-11-23,10.400000,10.596700,10.073300,10.233300,1.834398,12845850
2001-11-26,10.326700,10.360000,10.183300,10.283300,1.843361,6396300
2001-11-27,10.400000,10.463300,9.973330,10.126700,1.815289,5734440
2001-11-28,10.393300,10.393300,9.600000,9.683330,1.735812,7073025
2001-11-29,9.683330,9.900000,9.276670,9.750000,1.747763,15578295
2001-11-30,null,null,null,null,null,null
2001-12-03,9.933330,10.233300,9.810000,9.926670,1.779432,8441475
2001-12-04,9.993330,10.083300,9.890000,9.960000,1.785407,4483620
2001-12-05,10.100000,10.320000,10.000000,10.143300,1.818265,6432900
2001-12-06,10.426700,10.466700,10.016700,10.096700,1.809911,6999330
2001-12-07,10.163300,10.260000,9.873330,9.960000,1.785407,2760615
2001-12-10,10.073300,10.263300,9.880000,10.080000,1.806918,6521610
2001-12-11,10.033300,10.433300,10.033300,10.220000,1.832014,9165375
2001-12-12,10.363300,10.533300,9.873330,10.013300,1.794961,9485460
2001-12-13,10.066700,10.120000,9.366670,9.586670,1.718484,17746440
2001-12-14,9.400000,9.800000,9.400000,9.696670,1.738203,2595975
2001-12-17,null,null,null,null,null,null
2001-12-18,9.766670,9.796670,9.193330,9.376670,1.680841,8464845
2001-12-19,9.440000,9.700000,9.366670,9.450000,1.693985,8836365
2001-12-20,9.466670,9.600000,9.383330,9.456670,1.695181,6576810
2001-12-21,9.400000,9.466670,9.320000,9.440000,1.692193,2050320
2001-12-24,9.313330,9.650000,9.250000,9.593330,1.719678,1779405
2001-12-25,null,null,null,null,null,null
2001-12-26,9.600000,9.600000,9.203330,9.273330,1.662316,1659090
2001-12-27,9.246670,9.416670,8.683330,8.826670,1.582249,6802200
2001-12-28,8.900000,8.980000,8.750000,8.910000,1.597186,4373175
2001-12-31,9.106670,9.400000,8.960000,9.296670,1.666500,6492150
2002-01-01,9.416670,9.453330,9.200000,9.253330,1.658731,2152770
2002-01-02,9.290000,9.483330,9.260000,9.410000,1.686815,1832265
2002-01-03,9.416670,9.726670,9.166670,9.650000,1.729836,3881310
2002-01-04,9.663330,9.726670,9.253330,9.330000,1.672474,2980245
2002-01-07,9.526670,9.526670,8.966670,9.050000,1.622283,8410500
2002-01-08,9.186670,9.260000,9.106670,9.200000,1.649171,3355980
2002-01-09,9.293330,9.423330,9.226670,9.360000,1.677853,3137385
2002-01-10,9.466670,9.586670,9.266670,9.316670,1.670085,3843015
2002-01-11,9.400000,9.633330,9.200000,9.400000,1.685022,3022860
2002-01-14,9.563330,10.240000,9.546670,9.980000,1.788992,9453240
2002-01-15,10.140000,10.140000,9.540000,9.663330,1.732227,3749535
2002-01-16,9.733330,9.823330,9.513330,9.683330,1.735812,2883255
2002-01-17,9.666670,9.956670,9.536670,9.820000,1.760311,2845410
2002-01-18,9.920000,10.000000,9.746670,9.946670,1.783017,2743215
2002-01-21,10.216700,10.643300,9.900000,9.953330,1.784212,4667895
2002-01-22,10.016700,10.056700,9.673330,9.786670,1.754336,4902660
2002-01-23,9.786670,10.166700,9.700000,9.786670,1.754336,13852635
2002-01-24,9.860000,10.076700,9.753330,9.810000,1.758519,10064775
2002-01-25,9.873330,10.053300,9.766670,9.953330,1.784212,4949250
2002-01-28,9.953330,10.160000,9.866670,9.940000,1.781822,6889980
2002-01-29,10.200000,10.216700,9.866670,9.903330,1.775249,7535535
2002-01-30,9.866670,9.896670,9.610000,9.636670,1.727448,4173645
2002-01-31,9.763330,9.933330,9.633330,9.750000,1.747763,4955580
2002-02-01,10.066700,10.726700,9.933330,10.716700,1.921051,15930000
2002-02-04,10.816700,11.233300,10.676700,11.073300,1.984974,20252070
2002-02-05,10.966700,11.093300,10.533300,10.956700,1.964074,9678045
2002-02-06,11.326700,12.053300,11.326700,12.053300,2.160647,22386120
2002-02-07,12.220000,12.253300,11.100000,11.430000,2.048916,26524320
2002-02-08,11.466700,11.600000,11.000000,11.043300,1.979597,9856005
2002-02-11,11.226700,11.653300,11.210000,11.473300,2.056678,11599995
2002-02-12,11.600000,11.866700,11.173300,11.250000,2.016649,6187920
2002-02-13,11.333300,11.860000,11.330000,11.613300,2.081774,14312070
2002-02-14,11.666700,12.560000,11.546700,12.363300,2.216218,29034930
2002-02-15,12.266700,13.093300,12.213300,12.873300,2.307638,57377220
2002-02-18,12.813300,13.006700,12.240000,12.620000,2.262232,24613590
2002-02-19,12.690000,12.786700,11.513300,11.636700,2.085968,29504085
2002-02-20,11.636700,11.953300,11.286700,11.460000,2.054294,23519475
